Timeframe,Week of, 2019 counts (14 counters), 2020 counts (14 counters),Change 2019-2020
Week 1,30-Dec,68957,93654,36%
Week 2,06-Jan,34778,46964,35%
Week 3,13-Jan,32065,38302,19%
Week 4,20-Jan,35016,41506,19%
Week 5,27-Jan,33627,46335,38%
Week 6,03-Feb,35217,67437,91%
Week 7,10-Feb,32171,50846,58%
Week 8,17-Feb,36288,69353,91%
Week 9,24-Feb,44410,64508,45%
Week 10,03-Mar,65887,64326,-2%
Week 11,10-Mar,23076,85501,271%
Week 12,17-Mar,30298,117152,287%
Week 13,24-Mar,68805,106175,54%
Week 14,31-Mar,62779,113005,80%
Week 15,07-Apr,83893,107420,28%
Week 16,14-Apr,71677,122291,71%
Week 17,21-Apr,87834,106246,21%
Week 18,28-Apr,88284,109459,24%
Week 19,05-May,94980,109391,15%
Week 20,12-May,100251,119716,19%
Week 21,19-May,179060,106249,-41%
Week 22,26-May,132357,111028,-16%
Week 23,02-Jun,97451,115580,19%
Week 24,09-Jun,94747,122561,29%
Week 25,16-Jun,87304,105924,21%
Week 26,23-Jun,84230,97094,15%
Week 27,30-Jun,68866,80405,17%
Week 28,07-Jul,69626,87187,25%
Week 29,14-Jul,64104,94974,48%
Week 30,21-Jul,85786,83103,-3%
Week 31,28-Jul,81182,88592,9%
Week 32,04-Aug,71150,93785,32%
Week 33,11-Aug,90778,84000,-7%
Week 34,18-Aug,61826,86466,40%
Week 35,25-Aug,69618,72144,4%
Week 36,01-Sep,73657,85100,16%
Week 37,08-Sep,64835,73695,14%
Week 38,15-Sep,56589,75856,34%
Week 39,22-Sep,51308,81451,59%
Week 40,29-Sep,57862,75523,31%
Week 41,06-Oct,59866,74958,25%
Week 42,13-Oct,50785,66941,32%
Week 43,20-Oct,50692,66721,32%
Week 44,27-Oct,54306,95193,75%
Week 45,03-Nov,58888,61197,4%
Week 46,10-Nov,46887,96682,106%
